epoch loss acc val_acc
001 0.29936 0.8804 0.8824
002 0.15357 0.9379 0.9276
003 0.14087 0.9532 0.9644
004 0.16169 0.9446 0.9538
005 0.09954 0.9640 0.9664
006 0.10421 0.9682 0.9746
007 0.10139 0.9674 0.9780
008 0.06797 0.9774 0.9668
009 0.08502 0.9696 0.9784
010 0.07392 0.9745 0.9710
011 0.12741 0.9582 0.9694
012 0.07551 0.9738 0.9746
013 0.08982 0.9731 0.9722
014 0.09091 0.9691 0.9854
015 0.09784 0.9703 0.9494
016 0.07114 0.9754 0.9848
017 0.10637 0.9707 0.9434
018 0.06895 0.9776 0.9756
019 0.08707 0.9724 0.9726
020 0.09183 0.9735 0.9844
021 0.06541 0.9817 0.9782
022 0.12636 0.9677 0.9760
023 0.08464 0.9810 0.9762
024 0.10694 0.9691 0.9728
025 0.07319 0.9716 0.9840
026 0.11775 0.9700 0.9866
027 0.13882 0.9733 0.9810
028 0.08820 0.9777 0.9792
029 0.05639 0.9785 0.9848
030 0.05077 0.9800 0.9826
031 0.12903 0.9727 0.9596
032 0.21802 0.9641 0.9708
033 0.04680 0.9816 0.9728
034 0.06137 0.9730 0.9838
035 0.06071 0.9759 0.9864
036 0.03691 0.9880 0.9816
037 0.03482 0.9864 0.9828
038 0.03882 0.9868 0.9882
039 0.04820 0.9809 0.9874
040 0.03826 0.9824 0.9850
041 0.06819 0.9742 0.9630
042 0.04132 0.9817 0.9820
043 0.02366 0.9926 0.9866
044 0.04947 0.9794 0.9864
045 0.03460 0.9875 0.9830
046 0.03101 0.9861 0.9802
047 0.04617 0.9785 0.9828
048 0.03820 0.9860 0.9858
049 0.05897 0.9805 0.9876
050 0.04030 0.9821 0.9860
051 0.07064 0.9781 0.9832
052 0.04587 0.9770 0.9858
053 0.03681 0.9872 0.9832
054 0.02937 0.9878 0.9854
055 0.02778 0.9907 0.9864
056 0.05657 0.9761 0.9874
057 0.02694 0.9915 0.9862
058 0.03461 0.9880 0.9870
059 0.05805 0.9775 0.9902
060 0.02853 0.9903 0.9914
061 0.04370 0.9819 0.9892
062 0.03408 0.9895 0.9886
063 0.02653 0.9892 0.9738
064 0.04084 0.9847 0.9904
065 0.04221 0.9845 0.9872
066 0.02568 0.9920 0.9872
067 0.03782 0.9860 0.9850
068 0.03923 0.9862 0.9916
069 0.02619 0.9900 0.9918
070 0.03305 0.9870 0.9732
071 0.03014 0.9881 0.9862
072 0.02690 0.9902 0.9866
073 0.03035 0.9883 0.9890
074 0.04050 0.9876 0.9852
075 0.03333 0.9894 0.9882
076 0.04520 0.9869 0.9756
077 0.03419 0.9825 0.9870
078 0.03405 0.9857 0.9864
079 0.02918 0.9845 0.9872
080 0.03645 0.9837 0.9900
081 0.05379 0.9816 0.9914
082 0.02412 0.9926 0.9858
083 0.03347 0.9870 0.9860
084 0.02224 0.9911 0.9898
085 0.03065 0.9855 0.9900
086 0.03350 0.9891 0.9762
087 0.02880 0.9872 0.9896
088 0.03154 0.9854 0.9844
089 0.03661 0.9879 0.9864
090 0.03123 0.9898 0.9910
091 0.03214 0.9878 0.9890
092 0.02678 0.9884 0.9892
093 0.03083 0.9878 0.9880
094 0.02280 0.9917 0.9898
095 0.02153 0.9925 0.9932
096 0.04297 0.9842 0.9870
097 0.02321 0.9906 0.9832
098 0.03809 0.9849 0.9900
099 0.03152 0.9863 0.9868
100 0.03031 0.9852 0.9894
